County,Year,All causes (total),Alzheimer's disease,Malignant neoplasms,Chronic lower respiratory diseases,Diabetes mellitus,Assault (homicide),Diseases of heart,Essential hypertension and hypertensive renal disease,Accidents (unintentional injuries),Chronic liver disease and cirrhosis,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease,Influenza and pneumonia,Cerebrovascular diseases,Intentional self-harm (suicide),annual_mean_pm25,annual_mean_ozone,annual_mean_pb,annual_mean_pm10,annual_mean_co,annual_mean_no2,annual_mean_so2,FIPS,asthma_er_avg,cancer_incidence_rate,asthma_deaths,Bladder_Surgery_Ct,Brain_Surgery_Ct,Breast_Surgery_Ct,Colon_Surgery_Ct,Esophagus_Surgery_Ct,Liver_Surgery_Ct,Lung_Surgery_Ct,Pancreas_Surgery_Ct,Prostate_Surgery_Ct,Rectum_Surgery_Ct,Stomach_Surgery_Ct,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,tree_canopy,supermarkets,park_access,h2o_contam
Imperial,2017,963,26.5,214.5,30,51.5,NA,232.5,20.5,67.5,15.5,18.5,NA,38,32.5,18.5,11.647614314115309,0.04166566940912491,0.015607407407407407,43.98502495840266,0.4162748643761302,23.653603603603603,1.863888888888889,6025,1212,106.9,NA,NA,5,35,17,NA,NA,NA,NA,6,3,1,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923
Imperial,2018,1062,37,187.5,46.5,63,NA,225.5,39,109,20.5,27,NA,28.5,54,12,12.108333333333333,0.039645161290322584,0.010366521739130434,50.61179775280899,0.6045584045584046,23.419103313840157,1.5391167192429023,6025,1212,106.9,NA,1,5,52,18,NA,NA,NA,NA,12,5,2,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923
Imperial,2019,980.5,52.5,171.5,26.5,65.5,11.5,203,33.5,80,27.5,27,11.5,34.5,38.5,11,9.570178926441352,0.03775974025974026,0.01531625,36.50390189520624,0.4438356164383562,20.959049360146253,1.241715976331361,6025,1212,106.9,NA,1,3,41,20,NA,NA,NA,1,14,3,3,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923
Inyo,2017,208.5,NA,35.5,19.5,NA,0,42,NA,16,NA,NA,0,NA,NA,NA,6.177966101694915,0.03994597249508841,NA,20.92035232383808,0.11986970684039089,NA,0.13164556962025317,6027,94.66666666666667,147.2,NA,NA,NA,9,4,NA,NA,NA,NA,NA,NA,NA,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667
Inyo,2018,188,NA,34.5,17.5,NA,0,40,NA,12,NA,NA,NA,13,12,NA,6.812189616252821,0.04259241245136187,NA,17.15899814471243,0.13168044077134985,NA,0.1434959349593496,6027,94.66666666666667,147.2,NA,NA,NA,18,4,NA,NA,NA,NA,NA,2,NA,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667
Inyo,2019,202,NA,35.5,18,NA,0,44,11,27,NA,NA,NA,0,14,NA,4.695454545454545,0.042633774160732454,NA,14.249305426930913,0.11013698630136987,NA,0.13278236914600552,6027,94.66666666666667,147.2,NA,NA,NA,20,6,NA,NA,NA,NA,NA,NA,NA,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667
Kern,2017,5954.5,320.5,1125.5,355.5,268.5,99,1392.5,96.5,526.5,120,130.5,70,88,232.5,118.5,11.25320197044335,0.05323016157989228,0.0043254545454545455,34.99120603015076,0.2906815020862309,22.803012912482068,NA,6029,4479,115.8,24,4,43,362,112,2,7,24,4,64,36,8,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234
Kern,2018,6060,352.5,1135.5,400.5,292,112.5,1431,92.5,467,133,109.5,73.5,107.5,277,102,11.643714011516314,0.052630465444287726,0.00374671875,33.80925778132482,0.29121951219512193,23.067616959064328,NA,6029,4479,115.8,24,3,40,392,115,NA,8,11,3,96,45,11,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234
Kern,2019,6216,343,1103,448,315.5,91.5,1434.5,102,532,161.5,80,70.5,110.5,304,130,8.333493282149712,0.04969013088079236,0.0036576923076923075,28.870304748405385,0.32664835164835165,23.879849012775843,NA,6029,4479,115.8,24,4,37,350,121,NA,2,28,4,80,55,8,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234
Kings,2017,851,31,182,45.5,19,NA,208,NA,54,25.5,13,NA,18.5,37.5,24.5,16.68937728937729,0.04893069306930693,NA,52.62578334825425,NA,18.283426966292136,NA,6031,886.6666666666666,103.6,NA,NA,NA,40,14,1,NA,1,NA,1,9,1,-0.4535058686,-0.68102336664,-0.53948333608,0.12884062788,-0.0369813046,-0.36147586312,-0.891151691,-0.16797650396,-0.37844370936,78.96,90.732,51.06,93.14,4.30549931636,34.816,96.908,14.164,62.236,50.2855359368,48402,2.859606156,32.127436770016,41.8663644,555.512933344
Kings,2018,828,32.5,185.5,38.5,21,NA,210.5,13,53.5,21.5,22,NA,13.5,35,18.5,17.518765743073047,0.0479056338028169,NA,54.82998171846435,NA,19.276044568245126,NA,6031,886.6666666666666,103.6,NA,NA,NA,34,26,1,NA,1,NA,5,6,1,-0.4535058686,-0.68102336664,-0.53948333608,0.12884062788,-0.0369813046,-0.36147586312,-0.891151691,-0.16797650396,-0.37844370936,78.96,90.732,51.06,93.14,4.30549931636,34.816,96.908,14.164,62.236,50.2855359368,48402,2.859606156,32.127436770016,41.8663644,555.512933344
Kings,2019,837,26.5,174.5,42,24.5,NA,193.5,NA,55.5,23.5,20,NA,12.5,50.5,26,12.134409937888199,0.04528169014084507,NA,48.43517679057117,NA,18.630113636363635,NA,6031,886.6666666666666,103.6,NA,NA,NA,33,21,NA,NA,3,NA,1,3,1,-0.4535058686,-0.68102336664,-0.53948333608,0.12884062788,-0.0369813046,-0.36147586312,-0.891151691,-0.16797650396,-0.37844370936,78.96,90.732,51.06,93.14,4.30549931636,34.816,96.908,14.164,62.236,50.2855359368,48402,2.859606156,32.127436770016,41.8663644,555.512933344
Lake,2017,756.5,20,160,52.5,23.5,NA,157.5,NA,64,18,13,NA,17,34.5,21.5,5.928813559322034,0.037047619047619045,NA,11.855555555555556,NA,NA,NA,6033,498.6666666666667,123,NA,NA,NA,2,6,NA,NA,1,NA,NA,2,NA,-0.49463040573333333,-1.1634957491333333,-0.40369251840000003,-0.012748836800000002,-0.3243973456,-0.044923511333333326,1.1686215607333332,-0.2149803714,-0.5251978699333334,75.47333333333333,96.40666666666667,62.13333333333333,91.88666666666667,4.904993288066667,43.28,97.24,14.78,53.64,48.190071772,37106.53333333333,18.263615106666666,18.63627690774,38.26512133333333,291.02162159333335
Lake,2018,751.5,11,165.5,64.5,13.5,NA,144.5,NA,66.5,20,14,12.5,15,28,21,9.154237288135594,0.03539093484419263,NA,13.653631284916202,NA,NA,NA,6033,498.6666666666667,123,NA,NA,NA,1,7,NA,2,NA,NA,NA,3,NA,-0.49463040573333333,-1.1634957491333333,-0.40369251840000003,-0.012748836800000002,-0.3243973456,-0.044923511333333326,1.1686215607333332,-0.2149803714,-0.5251978699333334,75.47333333333333,96.40666666666667,62.13333333333333,91.88666666666667,4.904993288066667,43.28,97.24,14.78,53.64,48.190071772,37106.53333333333,18.263615106666666,18.63627690774,38.26512133333333,291.02162159333335
Lake,2019,771,17,165.5,63,13,NA,153,NA,82,31.5,14.5,NA,NA,32.5,16.5,3.1416666666666666,0.03434745762711865,NA,8.027932960893855,NA,NA,NA,6033,498.6666666666667,123,NA,NA,NA,3,2,NA,NA,NA,NA,NA,2,NA,-0.49463040573333333,-1.1634957491333333,-0.40369251840000003,-0.012748836800000002,-0.3243973456,-0.044923511333333326,1.1686215607333332,-0.2149803714,-0.5251978699333334,75.47333333333333,96.40666666666667,62.13333333333333,91.88666666666667,4.904993288066667,43.28,97.24,14.78,53.64,48.190071772,37106.53333333333,18.263615106666666,18.63627690774,38.26512133333333,291.02162159333335
Los Angeles,2017,64339,4183.5,14802.5,3106.5,2675,619.5,16670.5,1425,2614.5,1454.5,1352,797,1988,3743,896.5,12.190612586242944,0.04727440693430657,0.011492091007583966,27.902439024390244,0.5297225622195022,28.488,1.9067796610169492,6037,47679,117.2,272,410,961,7712,1988,131,566,957,367,2552,973,376,-0.1398531375081822,-0.11379843107076515,0.025134014251658555,-0.32215023994161873,-0.42063736005616986,-0.08465958129677134,-0.32914272071428574,-0.041139364915524106,-0.37760223263157894,74.30583812472358,86.28633348076073,46.482706766917296,89.95072976559045,11.605082550971252,57.18239716939407,97.69450685537373,28.82843874391862,69.79190623617868,59.14571143511588,61020.31968155683,5.552222433480761,62.34556080709801,71.41382379478107,556.1705312682743
Los Angeles,2018,64720.5,4085.5,14865.5,3098.5,2716,610,16873.5,1498.5,2670.5,1484,1364.5,804.5,2205,3738.5,960.5,12.26759706190976,0.045239421179565885,0.01165730294396961,26.610414657666347,0.49977773287532834,27.091402997502083,1.6387066541705717,6037,47679,117.2,272,370,1034,7904,2134,107,544,958,338,1828,1011,355,-0.1398531375081822,-0.11379843107076515,0.025134014251658555,-0.32215023994161873,-0.42063736005616986,-0.08465958129677134,-0.32914272071428574,-0.041139364915524106,-0.37760223263157894,74.30583812472358,86.28633348076073,46.482706766917296,89.95072976559045,11.605082550971252,57.18239716939407,97.69450685537373,28.82843874391862,69.79190623617868,59.14571143511588,61020.31968155683,5.552222433480761,62.34556080709801,71.41382379478107,556.1705312682743
Los Angeles,2019,64953,4412.5,14757,2953.5,2984,534.5,16731,1540.5,3011.5,1455.5,1358,871,1827.5,3790,864,10.186701911346075,0.045268676568388386,0.009529617486338798,22.43774703557312,0.4752320065992988,26.129435483870967,1.201320754716981,6037,47679,117.2,272,383,1014,8462,2057,125,569,992,379,1678,962,405,-0.1398531375081822,-0.11379843107076515,0.025134014251658555,-0.32215023994161873,-0.42063736005616986,-0.08465958129677134,-0.32914272071428574,-0.041139364915524106,-0.37760223263157894,74.30583812472358,86.28633348076073,46.482706766917296,89.95072976559045,11.605082550971252,57.18239716939407,97.69450685537373,28.82843874391862,69.79190623617868,59.14571143511588,61020.31968155683,5.552222433480761,62.34556080709801,71.41382379478107,556.1705312682743
Madera,2017,1009,66.5,236.5,59.5,27.5,11,193,22,70.5,27,16,NA,16.5,54,24.5,12.537196765498653,0.048949367088607594,NA,34.16986301369863,0.24455445544554455,13.542777777777777,NA,6039,857.6666666666666,103.2,10,NA,NA,14,15,NA,4,NA,NA,NA,3,1,-0.3561824908571429,-0.7302707988571429,-0.4349475972857143,0.27539919923809525,-0.4458484832857143,-0.10567950904761905,-0.5134447709047619,-0.21011425647619048,0.3352352215714286,74,89.50952380952381,60.79047619047619,92.96666666666667,3.553443186952381,38.30952380952381,97.96190476190476,13.91904761904762,61.55238095238095,50.67512799714286,45531.80952380953,12.423391557142857,27.55722643957143,43.019128095238095,726.3533229952382
Madera,2018,965.5,53,193,63.5,39,13,197.5,30,63,29.5,NA,12,21.5,40,20,14.116042780748662,0.04562780898876404,NA,40.37391304347826,0.24817927170868348,12.641225626740948,NA,6039,857.6666666666666,103.2,10,NA,NA,32,15,NA,NA,NA,NA,NA,4,NA,-0.3561824908571429,-0.7302707988571429,-0.4349475972857143,0.27539919923809525,-0.4458484832857143,-0.10567950904761905,-0.5134447709047619,-0.21011425647619048,0.3352352215714286,74,89.50952380952381,60.79047619047619,92.96666666666667,3.553443186952381,38.30952380952381,97.96190476190476,13.91904761904762,61.55238095238095,50.67512799714286,45531.80952380953,12.423391557142857,27.55722643957143,43.019128095238095,726.3533229952382
Madera,2019,999,63.5,186.5,62,30.5,NA,221,24.5,90.5,17.5,17,NA,17,42,17.5,9.612885154061624,0.04535813953488372,NA,35.562130177514796,NA,12.476685393258427,NA,6039,857.6666666666666,103.2,10,NA,NA,22,17,1,1,NA,NA,NA,3,1,-0.3561824908571429,-0.7302707988571429,-0.4349475972857143,0.27539919923809525,-0.4458484832857143,-0.10567950904761905,-0.5134447709047619,-0.21011425647619048,0.3352352215714286,74,89.50952380952381,60.79047619047619,92.96666666666667,3.553443186952381,38.30952380952381,97.96190476190476,13.91904761904762,61.55238095238095,50.67512799714286,45531.80952380953,12.423391557142857,27.55722643957143,43.019128095238095,726.3533229952382
Marin,2017,2018.5,181,468,91.5,35,NA,425,31.5,103,22.5,18.5,22.5,59.5,104.5,52,9.066033755274262,0.03161218836565097,NA,16.696428571428573,0.4534246575342466,19.614088397790056,NA,6041,562.3333333333334,151.1,6,7,13,299,42,NA,NA,5,1,33,3,1,0.752232251,0.872520176773585,0.7274321441698113,0.19277502828301887,0.8044875063584905,0.6742084666415095,1.114814989735849,0.4430561622075472,1.0212263280566038,89.16792452830188,96.26037735849057,62.54528301886793,94.78867924528302,16.384475637150942,72.03962264150944,98.70377358490566,56.89811320754717,76.05283018867925,80.51710953150943,99486.8679245283,30.88172612264151,46.7741103034717,96.84720981132075,261.90381366415096
Marin,2018,1948,173,499.5,92,44,NA,389.5,17.5,93.5,23.5,17.5,42.5,44,100,48,10.643468950749465,0.03116574585635359,NA,17.864406779661017,0.4506849315068493,18.7625,NA,6041,562.3333333333334,151.1,6,13,11,340,44,1,1,6,NA,21,11,1,0.752232251,0.872520176773585,0.7274321441698113,0.19277502828301887,0.8044875063584905,0.6742084666415095,1.114814989735849,0.4430561622075472,1.0212263280566038,89.16792452830188,96.26037735849057,62.54528301886793,94.78867924528302,16.384475637150942,72.03962264150944,98.70377358490566,56.89811320754717,76.05283018867925,80.51710953150943,99486.8679245283,30.88172612264151,46.7741103034717,96.84720981132075,261.90381366415096
Marin,2019,1992,148,481,78.5,27.5,NA,384,27,102,24,21,56,44,121,61.5,5.9846827133479215,0.032641833810888254,NA,13.35593220338983,0.39519774011299436,16.77936962750716,NA,6041,562.3333333333334,151.1,6,11,7,361,42,NA,1,3,NA,7,3,4,0.752232251,0.872520176773585,0.7274321441698113,0.19277502828301887,0.8044875063584905,0.6742084666415095,1.114814989735849,0.4430561622075472,1.0212263280566038,89.16792452830188,96.26037735849057,62.54528301886793,94.78867924528302,16.384475637150942,72.03962264150944,98.70377358490566,56.89811320754717,76.05283018867925,80.51710953150943,99486.8679245283,30.88172612264151,46.7741103034717,96.84720981132075,261.90381366415096
Mariposa,2017,183,NA,43,14,NA,0,64,NA,17,0,0,NA,0,NA,NA,10.881149012567326,0.05111645101663586,NA,23.002923976608187,NA,NA,NA,6043,64.66666666666667,115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07897153583333334,-0.23338945433333333,-0.4047512268333333,0.25048369633333334,0.47053057649999996,0.5690367381666667,0.3185990616666667,0.348970254,0.736412965,85.11666666666666,98.51666666666667,66.56666666666666,96.31666666666666,12.106602296166667,34.13333333333333,97.01666666666667,22.583333333333332,65.06666666666666,68.12592669666667,52695,42.7639449,6.9716469595,44.68902666666666,528.0571019
Mariposa,2018,183.5,NA,41.5,NA,NA,0,42,NA,15.5,NA,NA,NA,0,18,NA,18.115811088295686,0.05211072056239016,NA,42.32272727272727,NA,NA,NA,6043,64.66666666666667,115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07897153583333334,-0.23338945433333333,-0.4047512268333333,0.25048369633333334,0.47053057649999996,0.5690367381666667,0.3185990616666667,0.348970254,0.736412965,85.11666666666666,98.51666666666667,66.56666666666666,96.31666666666666,12.106602296166667,34.13333333333333,97.01666666666667,22.583333333333332,65.06666666666666,68.12592669666667,52695,42.7639449,6.9716469595,44.68902666666666,528.0571019
Mariposa,2019,162.5,NA,34,11,NA,0,45,0,14,NA,NA,NA,NA,NA,NA,7.834888059701493,0.050340425531914895,NA,20.12264150943396,NA,NA,NA,6043,64.66666666666667,115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07897153583333334,-0.23338945433333333,-0.4047512268333333,0.25048369633333334,0.47053057649999996,0.5690367381666667,0.3185990616666667,0.348970254,0.736412965,85.11666666666666,98.51666666666667,66.56666666666666,96.31666666666666,12.106602296166667,34.13333333333333,97.01666666666667,22.583333333333332,65.06666666666666,68.12592669666667,52695,42.7639449,6.9716469595,44.68902666666666,528.0571019
Mendocino,2017,828,13.5,175.5,47,30.5,NA,200,12.5,78.5,NA,NA,NA,17,42.5,25.5,9.073379310344828,0.03441208791208791,NA,12.610951008645532,NA,NA,NA,6045,521,107.2,NA,NA,NA,109,27,NA,1,3,NA,NA,1,NA,-0.1258156258,-0.51167962870000006,-0.23508454555,0.05811195105,-0.14208325075,0.18428369390000002,1.0351775229,0.012541671849999996,0.1483192812,77.685,94.73,58.71,93.045,8.6638785681,46.063,97.02,23.88,65.275,56.1381732765,43982.6,28.967900635,28.4942293294,32.38594,329.590552705
Mendocino,2018,755.5,16.5,171,53.5,17,NA,161,14,74.5,19.5,NA,13,17,39.5,18,10.506500691562932,0.031083565459610028,NA,14.803921568627452,NA,NA,NA,6045,521,107.2,NA,NA,NA,105,18,NA,NA,3,NA,NA,7,3,-0.1258156258,-0.51167962870000006,-0.23508454555,0.05811195105,-0.14208325075,0.18428369390000002,1.0351775229,0.012541671849999996,0.1483192812,77.685,94.73,58.71,93.045,8.6638785681,46.063,97.02,23.88,65.275,56.1381732765,43982.6,28.967900635,28.4942293294,32.38594,329.590552705
Mendocino,2019,828,14,198,45,18,NA,175.5,NA,79,15.5,14,17.5,14,32.5,20.5,5.652314165497896,0.0310625,NA,12.084269662921349,NA,NA,NA,6045,521,107.2,NA,NA,NA,88,22,NA,2,2,NA,NA,11,NA,-0.1258156258,-0.51167962870000006,-0.23508454555,0.05811195105,-0.14208325075,0.18428369390000002,1.0351775229,0.012541671849999996,0.1483192812,77.685,94.73,58.71,93.045,8.6638785681,46.063,97.02,23.88,65.275,56.1381732765,43982.6,28.967900635,28.4942293294,32.38594,329.590552705
Merced,2017,1572,58.5,324.5,110.5,58,16.5,346.5,29.5,129.5,35,28,18.5,42,78,20.5,13.080467091295116,0.045139204545454545,NA,34.728813559322035,NA,16.165266106442576,NA,6047,1822,91.8,15,NA,NA,28,27,NA,1,NA,NA,1,8,1,-0.5577490063265306,-0.9283075765918367,-0.5885929986938776,0.10920903265306121,-0.35248060797959185,-0.19860454102040817,-0.4970432146938775,-0.26911627146938777,-0.5340958152653061,75.13265306122449,90.65306122448979,49.88775510204081,91.66530612244898,3.9369986318163264,38.210204081632654,95.86938775510204,12.483673469387755,59.820408163265306,44.309814767061226,42982.204081632655,5.055100765306123,32.751225217122446,58.41555551020408,615.2971651897959
Merced,2018,1571,60,330,99,63,12.5,324.5,29,124.5,35.5,28.5,20,41,64.5,17.5,14.990396659707724,0.04388483146067416,NA,33.83606557377049,NA,16.033333333333335,NA,6047,1822,91.8,15,NA,NA,26,15,NA,NA,NA,NA,NA,4,NA,-0.5577490063265306,-0.9283075765918367,-0.5885929986938776,0.10920903265306121,-0.35248060797959185,-0.19860454102040817,-0.4970432146938775,-0.26911627146938777,-0.5340958152653061,75.13265306122449,90.65306122448979,49.88775510204081,91.66530612244898,3.9369986318163264,38.210204081632654,95.86938775510204,12.483673469387755,59.820408163265306,44.309814767061226,42982.204081632655,5.055100765306123,32.751225217122446,58.41555551020408,615.2971651897959
Merced,2019,1534.5,58,322.5,65.5,66.5,17,317,31.5,112,43.5,25.5,23.5,33.5,79.5,26.5,9.2741127348643,0.044598314606741574,NA,28.81967213114754,NA,14.831666666666667,NA,6047,1822,91.8,15,NA,NA,36,27,NA,5,NA,NA,1,13,4,-0.5577490063265306,-0.9283075765918367,-0.5885929986938776,0.10920903265306121,-0.35248060797959185,-0.19860454102040817,-0.4970432146938775,-0.26911627146938777,-0.5340958152653061,75.13265306122449,90.65306122448979,49.88775510204081,91.66530612244898,3.9369986318163264,38.210204081632654,95.86938775510204,12.483673469387755,59.820408163265306,44.309814767061226,42982.204081632655,5.055100765306123,32.751225217122446,58.41555551020408,615.2971651897959
Mono,2017,48.5,0,NA,0,0,0,14.5,NA,NA,0,NA,0,0,NA,NA,3.567,NA,NA,37.24087591240876,NA,NA,NA,6051,52,86.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36637574666666667,0.063129979,0.13873559433333335,0.47893699266666667,-0.22053189300000003,0.23241334866666666,0.8494691666666666,0.825772183,1.116193282,76.73333333333333,98.2,65.36666666666667,96.86666666666667,22.53151834266667,50.266666666666666,100,32.36666666666667,71.26666666666667,68.53104748,57575.333333333336,16.704777133333334,14.650304493333334,96.7093,451.29251270000003
Mono,2018,50.5,NA,11,NA,0,NA,15,NA,14,NA,NA,0,0,0,0,9.935619469026548,NA,NA,21.374259102455547,NA,NA,NA,6051,52,86.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36637574666666667,0.063129979,0.13873559433333335,0.47893699266666667,-0.22053189300000003,0.23241334866666666,0.8494691666666666,0.825772183,1.116193282,76.73333333333333,98.2,65.36666666666667,96.86666666666667,22.53151834266667,50.266666666666666,100,32.36666666666667,71.26666666666667,68.53104748,57575.333333333336,16.704777133333334,14.650304493333334,96.7093,451.29251270000003
Mono,2019,56.5,0,14,NA,NA,0,13.5,0,16,NA,0,0,0,NA,NA,5.442696629213483,NA,NA,29.83889816360601,NA,NA,NA,6051,52,86.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36637574666666667,0.063129979,0.13873559433333335,0.47893699266666667,-0.22053189300000003,0.23241334866666666,0.8494691666666666,0.825772183,1.116193282,76.73333333333333,98.2,65.36666666666667,96.86666666666667,22.53151834266667,50.266666666666666,100,32.36666666666667,71.26666666666667,68.53104748,57575.333333333336,16.704777133333334,14.650304493333334,96.7093,451.29251270000003
Monterey,2017,2600.5,110.5,588.5,125.5,77.5,44,505.5,27,164.5,50.5,43.5,28,53,138,38.5,5.85716814159292,0.036059963099631,NA,28.634349030470915,0.30441988950276244,11.527624309392266,NA,6053,1721.6666666666667,117.8,15,1,28,123,90,2,6,20,7,7,35,16,-0.04738211246590909,-0.15902386875,-0.20637141861363636,0.005599804511363638,-0.38542891526136364,0.07980870173863636,0.8011432830909091,-0.010275833477272725,0.14785684273863636,74.73295454545455,86.38181818181818,48.11590909090909,94.85795454545455,5.669092947022727,43.35454545454545,97.65227272727273,25.322727272727274,67.74886363636364,60.23441844113636,62590.39772727273,10.875659769318181,47.2765515079375,78.16093920454546,636.2383638977273
Monterey,2018,2608.5,116.5,548,101.5,73.5,29.5,495.5,37,175,53.5,48.5,42.5,58.5,150.5,44,6.680914687774846,0.035471889400921656,NA,28.24022346368715,0.35376044568245124,11.535714285714286,NA,6053,1721.6666666666667,117.8,15,NA,25,126,68,5,3,19,7,7,14,8,-0.04738211246590909,-0.15902386875,-0.20637141861363636,0.005599804511363638,-0.38542891526136364,0.07980870173863636,0.8011432830909091,-0.010275833477272725,0.14785684273863636,74.73295454545455,86.38181818181818,48.11590909090909,94.85795454545455,5.669092947022727,43.35454545454545,97.65227272727273,25.322727272727274,67.74886363636364,60.23441844113636,62590.39772727273,10.875659769318181,47.2765515079375,78.16093920454546,636.2383638977273
Monterey,2019,2555,110.5,524,119.5,87.5,16.5,530,36,179,58.5,33.5,37.5,40.5,148,44,4.500177619893428,0.035785116279069766,NA,19.07079646017699,0.31205479452054796,10.334246575342465,NA,6053,1721.6666666666667,117.8,15,NA,8,154,75,6,2,15,6,10,39,12,-0.04738211246590909,-0.15902386875,-0.20637141861363636,0.005599804511363638,-0.38542891526136364,0.07980870173863636,0.8011432830909091,-0.010275833477272725,0.14785684273863636,74.73295454545455,86.38181818181818,48.11590909090909,94.85795454545455,5.669092947022727,43.35454545454545,97.65227272727273,25.322727272727274,67.74886363636364,60.23441844113636,62590.39772727273,10.875659769318181,47.2765515079375,78.16093920454546,636.2383638977273
Napa,2017,1325.5,67.5,292.5,52,37.5,NA,294.5,13,72.5,19.5,23.5,24,32.5,87.5,18,13.728133704735376,0.03391388888888889,NA,NA,0.6183561643835617,15.321008403361345,NA,6055,515,128,8,NA,1,57,24,3,4,25,NA,12,11,3,0.3016276892972973,0.4793686163783784,0.06147552710810811,0.2993641531081081,0.3865010043243243,-0.023889239216216215,0.5841070641351351,0.05832141991891892,0.6119113454324324,84.0972972972973,94.33243243243243,60.486486486486484,95.47567567567567,6.438049242621622,48.08054054054054,98.9918918918919,33.116216216216216,75.62162162162163,72.79521441324324,74996.7027027027,14.2501086,43.510437458675675,74.65989891891891,590.6553641
