"","COUNTY","Year","annual_mean_pm25","annual_mean_ozone","annual_mean_pb","annual_mean_pm10","annual_mean_co","annual_mean_no2","annual_mean_so2","FIPS","asthma_er_avg","cancer_incidence_rate","asthma_deaths"
"1","Alameda","2017",10.3240916713248,0.0317189504373178,NA,NA,0.642532690984171,22.72096,1.63480825958702,6001,8061.66666666667,120.7,67
"2","Alameda","2018",12.9130350194553,0.0309811212814645,NA,NA,0.616945244956772,22.7698991838694,1.35139664804469,6001,8061.66666666667,120.7,67
"3","Alameda","2019",7.32948058025269,0.0316407386681589,NA,NA,0.55,21.4017225325885,1.31285714285714,6001,8061.66666666667,120.7,67
"4","Butte","2017",9.98457486832205,0.0440264623955432,0.00227142857142857,22.1507692307692,0.351232876712329,14.332782369146,NA,6007,865.333333333333,133.7,NA
"5","Butte","2018",14.488928317956,0.0446384266263238,0.00481645161290323,31.0393258426966,0.468219178082192,15.1767313019391,NA,6007,865.333333333333,133.7,NA
"6","Butte","2019",6.97097288676236,0.0423338391502276,0.00142827586206897,19.9142857142857,0.315977961432507,14.4283667621777,NA,6007,865.333333333333,133.7,NA
"7","Calaveras","2017",13.3791489361702,0.0472735042735043,NA,16.5874439461883,NA,NA,NA,6009,194.333333333333,111.4,NA
"8","Calaveras","2018",14.6655462184874,0.0450949720670391,NA,14.2549019607843,NA,NA,NA,6009,194.333333333333,111.4,NA
"9","Calaveras","2019",5.46094674556213,0.0435942857142857,NA,12.6253687315634,NA,NA,NA,6009,194.333333333333,111.4,NA
"10","Colusa","2017",6.32103064066852,0.0396480263157895,NA,24.0057971014493,NA,NA,NA,6011,94.3333333333333,98.9,0
"11","Colusa","2018",11.2660904255319,0.0384129213483146,NA,32.9885386819484,NA,NA,NA,6011,94.3333333333333,98.9,0
"12","Colusa","2019",6.6081043956044,0.0370359116022099,NA,28.0303867403315,NA,NA,NA,6011,94.3333333333333,98.9,0
"13","Contra Costa","2017",11.4360724233983,0.0366498084291188,NA,17.3526011560694,0.408150183150183,13.439465648855,2.33653483992467,6013,6205.66666666667,131.8,47
"14","Contra Costa","2018",13.1202549575071,0.0351279554937413,NA,19.5119047619048,0.428310502283105,13.1634252539913,2.32363290537328,6013,6205.66666666667,131.8,47
"15","Contra Costa","2019",7.17521578298397,0.0366181434599156,NA,14.4606741573034,0.413259668508287,12.6507032348804,1.99522918615529,6013,6205.66666666667,131.8,47
"16","Del Norte","2017",6.05509138381201,NA,NA,NA,NA,NA,NA,6015,133,83,0
"17","Del Norte","2018",6.00607476635514,NA,NA,NA,NA,NA,NA,6015,133,83,0
"18","Del Norte","2019",4.93495145631068,NA,NA,NA,NA,NA,NA,6015,133,83,0
"19","El Dorado","2017",3.63394495412844,0.0508579881656805,NA,17.2581602373887,NA,NA,NA,6017,584.333333333333,128.4,NA
"20","El Dorado","2018",4.51856540084388,0.0520882740447958,NA,16.6294117647059,NA,NA,NA,6017,584.333333333333,128.4,NA
"21","El Dorado","2019",2.74802259887006,0.046828611898017,NA,13.8968481375358,NA,NA,NA,6017,584.333333333333,128.4,NA
"22","Fresno","2017",12.0059328091494,0.0500274656679151,0.0030952380952381,36.9271814187068,0.376607642124884,21.9904162633107,1.34860335195531,6019,7103.33333333333,108.9,57
"23","Fresno","2018",13.1537429378531,0.0487413862991488,0.00413387096774194,38.388679245283,0.379499072356215,21.8664622641509,1.3524861878453,6019,7103.33333333333,108.9,57
"24","Fresno","2019",8.49936353425683,0.046728,0.00322241379310345,32.725988700565,0.430693069306931,20.0225694444444,1.11602209944751,6019,7103.33333333333,108.9,57
"25","Glenn","2017",9.2599348534202,0.0403467048710602,NA,24.6970588235294,NA,NA,NA,6021,116,117.2,NA
"26","Glenn","2018",10.0810344827586,0.03867578125,NA,29.4241573033708,NA,NA,NA,6021,116,117.2,NA
"27","Glenn","2019",6.56123595505618,0.0407443181818182,NA,19.8649425287356,NA,NA,NA,6021,116,117.2,NA
"28","Humboldt","2017",7.18797169811321,0.0306020710059172,NA,18.0807453416149,0.282262569832402,4.15290423861852,0.0235023041474654,6023,717.666666666667,109.7,9
"29","Humboldt","2018",7.59064516129032,0.0291202346041056,NA,18.0632530120482,0.232777777777778,4.43105590062112,0.116641452344932,6023,717.666666666667,109.7,9
"30","Humboldt","2019",6.78785046728972,0.028292899408284,NA,14.7068965517241,0.286350974930362,5.724,0.589634146341463,6023,717.666666666667,109.7,9
"31","Imperial","2017",11.6476143141153,0.0416656694091249,0.0156074074074074,43.9850249584027,0.41627486437613,23.6536036036036,1.86388888888889,6025,1212,106.9,NA
"32","Imperial","2018",12.1083333333333,0.0396451612903226,0.0103665217391304,50.611797752809,0.604558404558405,23.4191033138402,1.5391167192429,6025,1212,106.9,NA
"33","Imperial","2019",9.57017892644135,0.0377597402597403,0.01531625,36.5039018952062,0.443835616438356,20.9590493601463,1.24171597633136,6025,1212,106.9,NA
"34","Inyo","2017",6.17796610169492,0.0399459724950884,NA,20.9203523238381,0.119869706840391,NA,0.131645569620253,6027,94.6666666666667,147.2,NA
"35","Inyo","2018",6.81218961625282,0.0425924124513619,NA,17.1589981447124,0.13168044077135,NA,0.14349593495935,6027,94.6666666666667,147.2,NA
"36","Inyo","2019",4.69545454545455,0.0426337741607325,NA,14.2493054269309,0.11013698630137,NA,0.132782369146006,6027,94.6666666666667,147.2,NA
"37","Kern","2017",11.2532019704433,0.0532301615798923,0.00432545454545455,34.9912060301508,0.290681502086231,22.8030129124821,NA,6029,4479,115.8,24
