"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018","AQS","060070008","7","0.00426","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/14/2018","AQS","060070008","7","0.00195","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/26/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/07/2018","AQS","060070008","7","0.00373","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/19/2018","AQS","060070008","7","0.0016","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/03/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/15/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/27/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/08/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/20/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/02/2018","AQS","060070008","7","0.00165","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/14/2018","AQS","060070008","7","0.00239","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/26/2018","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/07/2018","AQS","060070008","7","0.00259","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/19/2018","AQS","060070008","7","0.00173","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/01/2018","AQS","060070008","7","0.0014","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/13/2018","AQS","060070008","7","0.00266","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/25/2018","AQS","060070008","7","0.00256","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/06/2018","AQS","060070008","7","0.00247","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/18/2018","AQS","060070008","7","0.00201","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/30/2018","AQS","060070008","7","0.00165","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/11/2018","AQS","060070008","7","0.00425","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/23/2018","AQS","060070008","7","0.00279","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/05/2018","AQS","060070008","7","0.00146","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/17/2018","AQS","060070008","7","0.00277","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/29/2018","AQS","060070008","7","0.00278","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/10/2018","AQS","060070008","7","0.0935","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/24/2018","AQS","060070008","7","0.00139","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
